dataset,classifier,pixel_index,row,col,n_selected_by_model
Original,lda,2785,43,33,265
Original,lda,2790,43,38,265
Original,lda,2792,43,40,265
Original,lda,2793,43,41,265
Original,lda,2794,43,42,265
Original,lda,2795,43,43,265
Original,lda,2835,44,19,265
Original,lda,2836,44,20,265
Original,lda,2837,44,21,265
Original,lda,2845,44,29,265
Original,lda,2852,44,36,265
Original,lda,2862,44,46,265
Original,lda,2896,45,16,265
Original,lda,2898,45,18,265
Original,lda,2899,45,19,265
Original,lda,2901,45,21,265
Original,lda,2902,45,22,265
Original,lda,2906,45,26,265
Original,lda,2912,45,32,265
Original,lda,2917,45,37,265
Original,lda,2919,45,39,265
Original,lda,2923,45,43,265
Original,lda,2925,45,45,265
Original,lda,2927,45,47,265
Original,lda,2959,46,15,265
Original,lda,2964,46,20,265
Original,lda,2968,46,24,265
Original,lda,2970,46,26,265
Original,lda,2972,46,28,265
Original,lda,2979,46,35,265
Original,lda,2984,46,40,265
Original,lda,2987,46,43,265
Original,lda,2988,46,44,265
Original,lda,2990,46,46,265
Original,lda,2992,46,48,265
Original,lda,3027,47,19,265
Original,lda,3038,47,30,265
Original,lda,3042,47,34,265
Original,lda,3043,47,35,265
Original,lda,3049,47,41,265
Original,lda,3052,47,44,265
Original,lda,3057,47,49,265
Original,lda,3085,48,13,265
Original,lda,3098,48,26,265
Original,lda,3108,48,36,265
Original,lda,3113,48,41,265
Original,lda,3150,49,14,265
Original,lda,3154,49,18,265
Original,lda,3158,49,22,265
Original,lda,3160,49,24,265
Original,lda,3161,49,25,265
Original,lda,3169,49,33,265
Original,lda,3171,49,35,265
Original,lda,3174,49,38,265
Original,lda,3176,49,40,265
Original,lda,3184,49,48,265
Original,lda,3217,50,17,265
Original,lda,3221,50,21,265
Original,lda,3223,50,23,265
Original,lda,3228,50,28,265
Original,lda,3231,50,31,265
Original,lda,3233,50,33,265
Original,lda,3234,50,34,265
Original,lda,3236,50,36,265
Original,lda,3243,50,43,265
Original,lda,3244,50,44,265
Original,lda,3247,50,47,265
Original,lda,3278,51,14,265
Original,lda,3280,51,16,265
Original,lda,3282,51,18,265
Original,lda,3284,51,20,265
Original,lda,3289,51,25,265
Original,lda,3293,51,29,265
Original,lda,3294,51,30,265
Original,lda,3298,51,34,265
Original,lda,3304,51,40,265
Original,lda,3308,51,44,265
Original,lda,3312,51,48,265
Original,lda,3346,52,18,265
Original,lda,3357,52,29,265
Original,lda,3362,52,34,265
Original,lda,3365,52,37,265
Original,lda,3367,52,39,265
Original,lda,3368,52,40,265
Original,lda,3408,53,16,265
Original,lda,3410,53,18,265
Original,lda,3412,53,20,265
Original,lda,3413,53,21,265
Original,lda,3414,53,22,265
Original,lda,3419,53,27,265
Original,lda,3425,53,33,265
Original,lda,3433,53,41,265
Original,lda,3435,53,43,265
Original,lda,3481,54,25,265
Original,lda,3482,54,26,265
Original,lda,3484,54,28,265
Original,lda,3487,54,31,265
Original,lda,3490,54,34,265
Original,lda,3494,54,38,265
Original,lda,3496,54,40,265
Original,lda,3501,54,45,265
Original,lda,3541,55,21,265
Original,lda,3549,55,29,265
Original,lda,3554,55,34,265
Original,lda,3555,55,35,265
Original,lda,3558,55,38,265
Original,lda,3561,55,41,265
Original,lda,3562,55,42,265
Original,lda,3565,55,45,265
Original,lda,3608,56,24,265
Original,lda,3621,56,37,265
Original,lda,3676,57,28,265
Original,lda,3677,57,29,265
Original,lda,3678,57,30,265
Original,lda,3687,57,39,265
Original,lda,3689,57,41,265
Original,lda,3690,57,42,265
Original,lda,3744,58,32,265
Original,lda,3745,58,33,265
Original,lda,3752,58,40,265
Original,lda,3805,59,29,265
Original,lda,3815,59,39,265
Original,lda,3866,60,26,265
Original,lda,3876,60,36,265
Original,lda,3937,61,33,265
Original,logreg,352,5,32,75
Original,logreg,354,5,34,75
Original,logreg,1055,16,31,75
Original,logreg,1061,16,37,75
Original,logreg,1113,17,25,75
Original,logreg,1118,17,30,75
Original,logreg,1120,17,32,75
Original,logreg,1125,17,37,75
Original,logreg,1176,18,24,75
Original,logreg,1178,18,26,75
Original,logreg,1188,18,36,75
Original,logreg,1189,18,37,75
Original,logreg,1191,18,39,75
Original,logreg,1241,19,25,75
Original,logreg,1242,19,26,75
Original,logreg,1243,19,27,75
Original,logreg,1250,19,34,75
Original,logreg,1311,20,31,75
Original,logreg,1317,20,37,75
Original,logreg,1749,27,21,75
Original,logreg,1811,28,19,75
Original,logreg,1815,28,23,75
Original,logreg,1832,28,40,75
Original,logreg,1833,28,41,75
Original,logreg,1835,28,43,75
Original,logreg,1895,29,39,75
Original,logreg,1896,29,40,75
Original,logreg,1897,29,41,75
Original,logreg,2201,34,25,75
Original,logreg,2213,34,37,75
Original,logreg,2266,35,26,75
Original,logreg,2277,35,37,75
Original,logreg,2330,36,26,75
